"","Latitude","Longitude","year"
"593",33.220502,-108.235719,2005
"594",33.25693,-119.48784,2005
"595",33.264875,-84.284914,2005
"596",33.27947,-86.349438,2005
"597",33.284928,-85.803608,2005
"598",33.287828,-111.817361,2005
"599",33.290229,-112.160597,2005
"600",33.293465,-111.285594,2005
"601",33.29898,-111.88431,2005
"602",33.309944,-111.720029,2005
"603",33.312927,-86.821104,2005
"604",33.3169,-86.825,2005
"605",33.320344,-81.465537,2005
"606",33.331111,-87.003611,2005
"607",33.342226,-81.788731,2005
"608",33.347903,-79.298192,2005
"609",33.362014,-79.294251,2005
"610",33.36638,-79.297257,2005
"611",33.367807,-79.298399,2005
"612",33.37005,-112.6207,2005
"613",33.373994,-79.285697,2005
"614",33.386389,-86.816667,2005
"615",33.397043,-104.524135,2005
"616",33.3975,-86.955278,2005
"617",33.399135,-110.858896,2005
"618",33.40316,-112.07533,2005
"619",33.40405,-84.745728,2005
"620",33.40642,-112.14434,2005
"621",33.41045,-111.86507,2005
"622",33.4124,-111.93473,2005
"623",33.419017,-110.82967,2005
"624",33.421194,-111.503222,2005
"625",33.4214,-111.5436,2005
"626",33.425758,-94.070802,2005
"627",33.4265,-112.11814,2005
"628",33.432353,-81.991372,2005
"629",33.4339,-82.0224,2005
"630",33.433949,-84.161811,2005
"631",33.4349,-112.093,2005
"632",33.436775,-86.100527,2005
"633",33.451389,-86.967222,2005
"634",33.45223,-111.73331,2005
"635",33.455277,-111.996111,2005
"636",33.455739,-84.418998,2005
"637",33.45793,-112.04601,2005
"638",33.459722,-87.305556,2005
"639",33.459914,-104.404711,2005
"640",33.46093,-112.11748,2005
"641",33.463644,-116.971457,2005
"642",33.468809,-105.535444,2005
"643",33.469164,-81.991426,2005
"644",33.474609,-111.805769,2005
"645",33.47968,-111.91721,2005
"646",33.48385,-112.14257,2005
"647",33.485556,-86.915,2005
"648",33.488242,-111.855654,2005
"649",33.491121,-88.418567,2005
"650",33.49462,-112.13098,2005
"651",33.498434,-86.122639,2005
"652",33.499722,-86.924167,2005
"653",33.503833,-112.095767,2005
"654",33.50761,-111.83318,2005
"655",33.507992,-111.755334,2005
"656",33.5275,-86.807778,2005
"657",33.529444,-86.850278,2005
"658",33.545278,-86.549167,2005
"659",33.54549,-111.60925,2005
"660",33.553056,-86.815,2005
"661",33.56033,-112.06626,2005
"662",33.565278,-86.796389,2005
"663",33.57454,-112.19196,2005
"664",33.578333,-86.773889,2005
"665",33.582044,-82.131249,2005
"666",33.585556,-86.779444,2005
"667",33.588545,-84.069608,2005
"668",33.590851,-101.847594,2005
"669",33.610845,-84.390717,2005
"670",33.61103,-111.72529,2005
"671",33.612406,-114.602886,2005
"672",33.625273,-83.681656,2005
"673",33.63003,-117.67593,2005
"674",33.63713,-112.34184,2005
"675",33.6547,-111.1074,2005
"676",33.67464,-117.92568,2005
"677",33.67649,-117.33098,2005
"678",33.6878,-84.2905,2005
"679",33.698643,-84.272614,2005
"680",33.702771,-78.877478,2005
"681",33.704722,-86.669167,2005
"682",33.706328,-111.855622,2005
"683",33.70853,-116.21537,2005
"684",33.71881,-111.67183,2005
"685",33.720742,-84.357316,2005
"686",33.723808,-79.565096,2005
"687",33.739963,-81.853635,2005
"688",33.7411,-115.8206,2005
"689",33.741242,-84.776429,2005
"690",33.741253,-84.5527,2005
"691",33.746056,-90.723028,2005
"692",33.752625,-84.383325,2005
"693",33.778329,-84.707791,2005
"694",33.77933,-84.39576,2005
"695",33.78942,-117.22764,2005
"696",33.79236,-118.17533,2005
"697",33.801667,-86.9425,2005
"698",33.802241,-84.435618,2005
"699",33.81468,-80.781135,2005
"700",33.819564,-84.389708,2005
"701",33.82169,-112.01739,2005
"702",33.82376,-118.18921,2005
"703",33.83062,-117.93845,2005
"704",33.832885,-87.272505,2005
"705",33.834444,-89.792778,2005
"706",33.845741,-84.213398,2005
"707",33.85275,-116.54101,2005
"708",33.863022,-98.571788,2005
"709",33.869593,-106.852584,2005
"710",33.876469,-84.380327,2005
"711",33.880812,-97.275896,2005
"712",33.892302,-97.857165,2005
"713",33.89932,-84.661514,2005
"714",33.901389,-84.279903,2005
"715",33.9039,-86.0539,2005
"716",33.918137,-83.344385,2005
"717",33.920571,-117.572273,2005
"718",33.92086,-116.85841,2005
"719",33.922369,-80.337735,2005
"720",33.92513,-117.95264,2005
"721",33.9285,-85.04534,2005
"722",33.92899,-118.21071,2005
"723",33.945948,-83.372102,2005
"724",33.94603,-117.40063,2005
"725",33.9508,-118.43043,2005
"726",33.9632,-84.0691,2005
"727",33.969004,-81.065326,2005
"728",33.973389,-81.052675,2005
"729",33.982253,-81.040235,2005
"730",33.9828,-111.7987,2005
"731",33.991494,-85.992647,2005
"732",33.991509,-81.024141,2005
"733",33.99958,-117.41601,2005
"734",34.01194,-118.06995,2005
"735",34.01407,-118.06056,2005
"736",34.015097,-86.012194,2005
"737",34.015436,-84.607423,2005
"738",34.015494,-81.034179,2005
"739",34.024497,-81.036248,2005
"740",34.037234,-117.690889,2005
"741",34.051017,-81.15495,2005
"742",34.05111,-118.45636,2005
"743",34.058475,-109.441259,2005
"744",34.05977,-117.14731,2005
"745",34.06659,-118.22688,2005
"746",34.06703,-117.7514,2005
"747",34.06957,-116.38893,2005
"748",34.090866,-110.942801,2005
"749",34.093959,-80.962304,2005
"750",34.10002,-117.49201,2005
"751",34.103431,-84.91522,2005
"752",34.10374,-117.62914,2005
"753",34.10688,-117.27411,2005
"754",34.131262,-80.868318,2005
"755",34.1326,-118.1272,2005
"756",34.1365,-117.92391,2005
"757",34.141946,-116.055836,2005
"758",34.14435,-117.85036,2005
"759",34.165204,-82.160479,2005
"760",34.166667,-97.126389,2005
"761",34.167636,-79.850404,2005
"762",34.17605,-118.31712,2005
"763",34.179381,-82.152241,2005
"764",34.193925,-116.914063,2005
"765",34.19925,-118.53276,2005
"766",34.210154,-118.870496,2005
"767",34.212869,-82.173149,2005
"768",34.229733,-111.3295,2005
"769",34.23583,-77.9547,2005
"770",34.2431,-117.27235,2005
"771",34.2439,-113.5586,2005
"772",34.244189,-97.462931,2005
"773",34.252378,-119.143176,2005
"774",34.2525,-110.036388,2005
"775",34.2605,-85.3232,2005
"776",34.263198,-85.304826,2005
"777",34.263312,-85.178723,2005
"778",34.264444,-116.864444,2005
"779",34.264917,-88.766222,2005
"780",34.268403,-77.956529,2005
"781",34.276362,-118.683757,2005
"782",34.280401,-119.314557,2005
"783",34.285696,-79.744859,2005
"784",34.288567,-85.969858,2005
"785",34.291254,-118.798564,2005
"786",34.2993,-83.8134,2005
"787",34.325318,-82.386376,2005
"788",34.340556,-111.683923,2005
"789",34.342904,-87.33973,2005
"790",34.364167,-77.838611,2005
"791",34.376227,-84.059506,2005
"792",34.38344,-118.5284,2005
"793",34.402773,-119.458454,2005
"794",34.404268,-118.809946,2005
"795",34.408334,-116.907811,2005
"796",34.414942,-119.879511,2005
"797",34.418073,-117.285597,2005
"798",34.426126,-117.563939,2005
"799",34.427775,-119.691218,2005
"800",34.42888,-112.961944,2005
"801",34.44551,-119.8284,2005
"802",34.448048,-119.231321,2005
"803",34.454514,-94.143521,2005
"804",34.46245,-120.02551,2005
"805",34.46453,-120.04498,2005
"806",34.469441,-93.000178,2005
"807",34.474526,-85.408847,2005
"808",34.48974,-120.04692,2005
"809",34.510014,-117.331433,2005
"810",34.518515,-91.55896,2005
"811",34.52744,-120.1965,2005
"812",34.529766,-90.586049,2005
"813",34.530717,-86.967536,2005
"814",34.539378,-81.560354,2005
"815",34.54166,-119.79146,2005
"816",34.55199,-113.372362,2005
"817",34.583699,-94.226234,2005
"818",34.595,-112.331,2005
"819",34.596095,-120.631282,2005
"820",34.605819,-120.075069,2005
"821",34.615367,-80.198787,2005
"822",34.620369,-86.566381,2005
