"CBSA Code","Metropolitan Division Code","CSA Code","CBSA_Title","MMSA","Metropolitan Division Title","CSA Title","Counties","State Name","FIPS State Code","FIPS County Code","Central/Outlying County","county"
"67","11460",NA,"220","Ann Arbor, MI","Metropolitan Statistical Area",NA,"Detroit-Warren-Ann Arbor, MI","Washtenaw","Michigan","26","161","Central","washtenaw,michigan"
"68","11500",NA,NA,"Anniston-Oxford, AL","Metropolitan Statistical Area",NA,NA,"Calhoun","Alabama","01","015","Central","calhoun,alabama"
"69","11540",NA,"118","Appleton, WI","Metropolitan Statistical Area",NA,"Appleton-Oshkosh-Neenah, WI","Calumet","Wisconsin","55","015","Central","calumet,wisconsin"
"70","11540",NA,"118","Appleton, WI","Metropolitan Statistical Area",NA,"Appleton-Oshkosh-Neenah, WI","Outagamie","Wisconsin","55","087","Central","outagamie,wisconsin"
"71","11580",NA,"412","Arcadia, FL","Micropolitan Statistical Area",NA,"North Port-Sarasota, FL","DeSoto","Florida","12","027","Central","desoto,florida"
"72","11620",NA,NA,"Ardmore, OK","Micropolitan Statistical Area",NA,NA,"Carter","Oklahoma","40","019","Central","carter,oklahoma"
"73","11620",NA,NA,"Ardmore, OK","Micropolitan Statistical Area",NA,NA,"Love","Oklahoma","40","085","Outlying","love,oklahoma"
"74","11640",NA,"490","Arecibo, PR","Metropolitan Statistical Area",NA,"San Juan-Bayamón, PR","Arecibo Municipio","Puerto Rico","72","013","Central","arecibo municipio,puerto rico"
"75","11640",NA,"490","Arecibo, PR","Metropolitan Statistical Area",NA,"San Juan-Bayamón, PR","Camuy Municipio","Puerto Rico","72","027","Central","camuy municipio,puerto rico"
"76","11640",NA,"490","Arecibo, PR","Metropolitan Statistical Area",NA,"San Juan-Bayamón, PR","Hatillo Municipio","Puerto Rico","72","065","Central","hatillo municipio,puerto rico"
"77","11640",NA,"490","Arecibo, PR","Metropolitan Statistical Area",NA,"San Juan-Bayamón, PR","Quebradillas Municipio","Puerto Rico","72","115","Central","quebradillas municipio,puerto rico"
"78","11660",NA,NA,"Arkadelphia, AR","Micropolitan Statistical Area",NA,NA,"Clark","Arkansas","05","019","Central","clark,arkansas"
"79","11700",NA,"120","Asheville, NC","Metropolitan Statistical Area",NA,"Asheville-Marion-Brevard, NC","Buncombe","North Carolina","37","021","Central","buncombe,north carolina"
"80","11700",NA,"120","Asheville, NC","Metropolitan Statistical Area",NA,"Asheville-Marion-Brevard, NC","Haywood","North Carolina","37","087","Central","haywood,north carolina"
"81","11700",NA,"120","Asheville, NC","Metropolitan Statistical Area",NA,"Asheville-Marion-Brevard, NC","Henderson","North Carolina","37","089","Central","henderson,north carolina"
